기관명,박사,석사(박사수료 포함),학사이하,총현원
한국과학기술연구원,597,128,245,970
녹색기술센터,28,17,15,60
한국기초과학지원연구원,181,119,92,392
국가핵융합연구소,161,119,133,413
한국천문연구원,167,40,74,281
한국생명공학연구원,339,135,177,651
한국과학기술정보연구원,257,156,99,512
한국한의학연구원,173,94,50,317
한국생산기술연구원,582,342,208,1131
한국전자통신연구원,1112,913,255,2280
국가보안기술연구소,189,275,65,529
한국건설기술연구원,372,191,131,694
한국철도기술연구원,238,68,43,348
한국표준과학연구원,318,74,104,496
한국식품연구원,141,93,59,293
세계김치연구소,40,40,23,103
한국지질자원연구원,333,105,84,522
한국기계연구원,353,85,81,519
재료연구소,209,91,94,394
한국항공우주연구원,506,303,207,1016
한국에너지기술연구원,346,119,98,563
한국전기연구원,265,177,232,674
한국화학연구원,344,171,103,618
안전성평가연구소,84,104,158,346
한국원자력연구원,908,319,482,1709
